Geracao;Iteracao_1;Iteracao_2;Iteracao_3;Iteracao_4;Iteracao_5;Iteracao_6;Iteracao_7;Iteracao_8;Iteracao_9;Iteracao_10;Iteracao_11;Iteracao_12;Iteracao_13;Iteracao_14;Iteracao_15;Iteracao_16;Iteracao_17;Iteracao_18;Iteracao_19;Iteracao_20;Iteracao_21;Iteracao_22;Iteracao_23;Iteracao_24;Iteracao_25;Iteracao_26;Iteracao_27;Iteracao_28;Iteracao_29;Iteracao_30
50;13885;14193;15020;14755;14232;15487;14897;15257;15347;13022;14452;14790;15007;14948;14450;15630;15137;14872;14450;14417;14585;15462;14565;16107;14702;15099;15225;14407;14740;15499
51;13885;14061;15020;14755;14232;15487;14897;15257;15162;12872;14452;14655;15007;14948;14450;15630;15137;14872;14450;14417;14585;15447;14545;15942;14702;15099;15225;14407;14740;15349
52;13885;14061;15020;14755;14232;15487;14897;14947;15162;12872;14447;14640;15007;14948;14435;15342;15137;14872;14285;14417;14585;15447;14517;15654;14702;15099;15225;14382;14740;15349
53;13720;13911;15020;14605;14232;15192;14897;14947;14757;12872;14447;14487;15007;14798;14435;15342;15137;14872;14285;14417;14585;15447;14517;15654;14410;15099;15210;14382;14740;15184
54;13720;13898;15005;14605;14232;15192;14897;14797;14522;12717;14447;14487;15007;14798;14435;15342;15137;14872;14285;14262;14585;15447;14517;15654;14387;15099;15075;14257;14740;15034
55;13720;13898;15005;14605;14232;14912;14897;14797;14522;12717;14447;14330;15007;14798;14435;15330;14887;14872;14285;14262;14435;15297;14517;15654;14252;14979;15065;14125;14655;15034
56;13570;13898;14870;14605;13962;14762;14312;14797;14522;12717;14447;14330;14707;14798;14435;15330;14887;14872;14285;14252;14435;15297;14217;15654;14067;14979;15065;14125;14590;15034
57;13570;13766;14705;14605;13962;14762;14312;14797;14522;12717;14447;14157;14707;14798;14300;15330;14887;14872;14285;14252;14435;15297;14217;15654;14067;14874;15065;14125;14590;14994
58;13570;13766;14705;14605;13932;14612;14312;14797;14332;12717;14447;14157;14707;14798;14300;15330;14887;14847;14285;13962;14435;15297;14217;15654;14067;14874;15065;14125;14590;14884
59;13570;13766;14705;14605;13932;14612;14312;14647;14332;12717;14447;14157;14707;14498;14297;15315;14842;14723;14285;13962;14435;15297;14217;15654;14067;14694;15065;13960;14590;14819
60;13420;13766;14705;14475;13932;14592;14282;14647;14332;12717;14447;14157;14547;14498;14297;15165;14842;14722;13985;13962;14413;15297;14052;15654;14067;14694;15052;13960;14590;14694
61;13270;13766;14705;14460;13932;14302;14282;14647;14332;12717;14447;14157;14547;14498;14192;15165;14842;14722;13985;13962;14285;15297;14052;15504;14067;14694;14788;13960;14590;14694
62;13270;13766;14705;14460;13932;14302;14282;14647;14332;12717;14297;14157;14397;14498;14017;15030;14827;14722;13985;13962;13988;15297;14052;15504;14067;14694;14788;13960;14590;14694
63;13105;13766;14705;14460;13782;14302;14282;14512;14332;12632;14282;14087;14397;14483;14017;15030;14654;14722;13985;13962;13988;15297;14052;15504;14067;14624;14788;13927;14590;14694
64;13105;13766;14705;14310;13782;14302;14282;14512;14182;12557;14282;14087;14397;14393;13867;14865;14652;14722;13893;13962;13988;15297;14052;15054;14067;14544;14788;13795;14590;14694
65;13105;13766;14705;14310;13632;14302;14282;14512;14182;12557;14282;14087;14397;14223;13867;14865;14652;14577;13893;13840;13970;15297;13917;15054;14067;14544;14788;13792;14590;14424
66;13105;13766;14555;14310;13632;14302;14282;14337;14182;12557;14282;14087;14397;14159;13867;14730;14652;14552;13893;13812;13833;15297;13902;15054;14067;14349;14788;13777;14380;14294
67;12955;13616;14555;14140;13510;14302;14172;14255;14182;12557;14282;14087;14397;14159;13867;14730;14652;14412;13893;13812;13833;14862;13902;15054;14067;14349;14788;13777;14380;14294
68;12955;13616;14555;14140;13380;14289;14172;14255;14182;12557;14162;14007;14397;14159;13867;14715;14632;14282;13893;13802;13833;14862;13902;14904;14067;14349;14788;13777;14380;14294
69;12955;13466;14555;14005;13225;14164;14022;14237;13902;12557;14162;13992;14397;14158;13737;14715;14627;14282;13893;13802;13833;14862;13902;14904;14067;14349;14788;13777;14380;14294
70;12655;13466;14555;14005;13197;14154;14022;14237;13902;12557;14132;13794;14397;13833;13737;14705;14502;14267;13893;13672;13833;14862;13902;14754;13917;14349;14638;13777;14050;14294
71;12655;13466;14555;14005;13197;14154;13872;14110;13902;12557;14132;13794;14397;13833;13707;14555;14492;14267;13893;13672;13823;14862;13902;14754;13917;14349;14638;13687;14050;14294
72;12495;13466;14405;14005;13197;13852;13872;13995;13852;12557;14132;13794;14397;13833;13707;14555;14492;14267;13893;13652;13688;14862;13782;14754;13917;14349;14638;13687;13895;14289
73;12340;13466;14405;14005;13197;13852;13872;13960;13832;12557;14062;13794;14232;13833;13702;14555;14492;14267;13888;13652;13688;14862;13782;14754;13917;14244;14488;13687;13760;14289
74;12340;13466;14285;13695;13047;13852;13872;13930;13727;12557;13982;13674;14097;13833;13562;14255;14492;14267;13743;13502;13688;14712;13782;14604;13917;14244;14488;13642;13760;14289
75;12210;13466;14285;13695;12897;13702;13872;13925;13727;12557;13842;13429;14097;13833;13562;14255;14492;14262;13718;13502;13678;14687;13737;14589;13917;14049;14488;13507;13760;14289
76;12210;13466;14105;13695;12882;13702;13872;13925;13577;12557;13842;13429;14097;13478;13562;14255;14492;14112;13593;13502;13678;14637;13737;14454;13917;13944;14488;13507;13735;14289
77;12175;13316;14105;13695;12882;13702;13872;13885;13577;12557;13842;13389;14097;13478;13387;14255;14492;14112;13443;13502;13678;14637;13722;14454;13782;13944;14488;13357;13610;14289
78;12175;13316;13820;13695;12882;13702;13872;13775;13577;12557;13842;13389;14082;13478;13387;14255;14492;14112;13443;13487;13523;14637;13722;14454;13782;13944;14488;13357;13610;14194
79;12175;13316;13820;13695;12757;13584;13872;13495;13577;12425;13842;13389;13932;13178;13387;14255;14492;14007;13293;13337;13388;14637;13605;14454;13782;13944;14488;13357;13610;14194
80;12175;13186;13810;13695;12737;13584;13872;13495;13577;12410;13842;13389;13932;13178;13387;14255;14492;14007;13293;13337;13228;14547;13567;14454;13772;13944;14488;13357;13610;14194
81;12105;13096;13652;13613;12737;13584;13872;13440;13577;12265;13552;13389;13932;13148;13377;14255;14362;14007;13278;13187;13228;14547;13567;14454;13622;13644;14338;13357;13610;14059
82;12060;13016;13505;13545;12737;13584;13610;13440;13427;12265;13552;13359;13932;13123;13377;14255;14357;14007;13278;13187;13228;14547;13437;14289;13622;13644;14338;13357;13610;13974
83;12035;13016;13502;13545;12737;13500;13610;13290;13427;12265;13552;12909;13932;13028;13377;14255;14357;14007;13003;13187;13228;14547;13437;14289;13622;13615;14338;13357;13610;13659
84;12035;12896;13502;13545;12582;13500;13610;13265;13427;12265;13552;12909;13932;12983;13377;13665;14357;14007;12978;13187;13228;14452;13437;14169;13622;13615;14338;13357;13460;13659
85;12035;12896;13502;13380;12582;13500;13572;13265;13277;12130;13552;12909;13782;12833;13377;13665;14357;14007;12978;13172;13228;14452;13272;14169;13617;13615;14338;13357;13460;13659
86;12035;12896;13502;13380;12552;13350;13572;13265;13277;12115;13552;12759;13782;12833;13377;13665;14207;13942;12813;13037;13228;14452;13272;14169;13617;13615;14338;13357;13460;13514
87;12035;12866;13502;13253;12552;13350;13572;13265;13277;12115;13552;12759;13632;12833;13377;13665;14207;13942;12813;13037;13123;14452;13272;14169;13467;13615;14188;13215;13460;13064
88;12035;12731;13502;13253;12456;13350;13572;13133;13122;12115;13542;12759;13632;12833;13377;13665;14207;13365;12813;12887;13123;14452;13272;14169;13332;13615;14188;13215;13460;13064
89;12035;12731;13502;13253;12427;13320;13572;13133;13122;12115;13542;12759;13632;12833;13360;13665;14207;13365;12663;12887;12978;14212;12932;14169;13182;13615;14188;13215;13430;13064
90;12035;12731;13352;13253;12427;13320;13457;13133;13122;11890;13542;12759;13632;12833;13357;13665;14207;13365;12663;12887;12953;14202;12932;14169;13182;13615;14188;13215;13295;13064
91;12035;12581;13352;13223;12427;13320;13457;13133;13122;11890;13348;12359;13632;12833;13232;13665;14207;13365;12663;12887;12953;14202;12932;14169;13182;13615;14188;13080;13295;12892
92;12035;12551;13352;13223;12417;13320;13457;13115;13122;11865;13168;12359;13632;12683;13192;13650;14207;13347;12663;12887;12953;14037;12932;14169;13177;13615;14188;13080;13295;12892
93;11875;12251;13352;13223;12417;13320;13457;13010;13122;11865;12948;12359;13397;12533;13162;13650;14187;13347;12378;12887;12953;14037;12932;14169;13177;13615;14188;13071;13280;12727
94;11725;12251;13352;13223;12417;13320;13437;13010;13122;11865;12675;12359;13397;12533;13122;13365;13922;13347;12378;12887;12869;14037;12932;14139;13017;13483;14038;13071;13225;12727
95;11725;12251;13352;13115;12315;13320;13437;12965;13122;11720;12675;12359;13397;12533;13122;13365;13922;13347;12378;12887;12869;14037;12932;13719;13017;13364;14038;12936;13225;12727
96;11725;12251;13052;13115;12267;13185;13287;12965;13122;11720;12675;12359;13397;12533;13062;13365;13922;13347;12363;12887;12495;14037;12932;13719;13017;13364;14038;12911;13225;12727
97;11725;12251;13052;13115;12267;13185;13287;12815;13122;11640;12668;12359;13397;12533;13062;13115;13922;13347;12363;12887;12495;14037;12932;13719;12867;13364;14038;12911;13225;12727
98;11725;12251;13052;13115;12267;13185;13287;12655;12998;11640;12520;12234;13232;12533;13062;13115;13922;13047;12363;12887;12495;13889;12932;13569;12852;13349;13903;12911;13225;12452
99;11725;12251;13047;13115;12267;13185;13122;12655;12972;11640;12520;12234;13097;12533;13062;13115;13922;13047;12363;12887;12365;13889;12932;13419;12852;13349;13903;12630;13225;12159
100;11700;12251;13047;13115;12267;13185;13022;12655;12972;11605;12520;12234;12942;12533;13062;13115;13742;13047;12363;12887;12345;13889;12932;13419;12852;13209;13753;12630;13225;12159
101;11575;12251;13047;13115;12267;13185;13022;12655;12972;11595;12520;12234;12942;12533;13062;12965;13742;13047;12353;12887;12345;13889;12932;13419;12852;13209;13753;12480;13225;12159
102;11470;12251;12767;13108;12267;13185;13022;12655;12972;11575;12520;12084;12942;12533;13062;12965;13742;13047;12353;12887;12345;13889;12782;13269;12852;13199;13753;12480;12995;12137
103;11470;12101;12602;13108;12177;13175;13022;12655;12972;11575;12502;12084;12942;12533;13062;12815;13742;13047;12353;12737;12345;13887;12782;13269;12852;13199;13753;12480;12995;12024
104;11470;12101;12602;12835;12177;13175;13022;12655;12972;11445;12502;12084;12942;12533;13062;12815;13742;13047;12353;12737;12330;13887;12782;13269;12852;13199;13693;12480;12995;11992
105;11470;12101;12602;12835;12117;13175;13022;12655;12972;11345;12352;12084;12942;12533;13042;12815;13742;13047;12353;12737;12330;13724;12723;13269;12852;13199;13621;12330;12995;11992
